id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL,source_file,combined_timestamp
17,"I'm saying this time every year when flu & covid shots roll out death rates go up within 3 weeks after & continues till January- February. I can prove it. Go on Facebook
 Look up your local funeral homes & take a good look at the dates the obituaries ate posted. Go back as many yrs as you want. 
See the pattern now?",https://x.com/Steward4Life/status/1852681765456121866,tweet,StewardBee,@Steward4Life,"Massachusetts, USA","@BarbaraLeo31409,@InformedNJNurse",,0,0,0,0,29,0,2024-11-02 04:58:48,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
18,"@NHSMillion Me &amp; husband been to our local health centre at 9am this morning &amp; had flu &amp; covid jabs from a lovely nurse, on a Saturday! Thanks nurses &amp; all at our NHS. 🥰",https://x.com/LynneBaines2/status/1852674364581327145,tweet,Lynne Baines,@LynneBaines2,St Helens,@NHSMillion,,2,0,0,2,216,0,2024-11-02 04:29:24,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
19,"Progressive weekend so far.
Joined a ORG that are trying to work hard and promote our local area.
Cranked out 4 shorts this morning 
Now slamming people on #BlackOps6 

Add me upppp we can play at someone for sure!

FluXHound#2639103 https://t.co/2vueEOrU1s",https://x.com/FluXHoundFB/status/1852674291579404475,tweet,TN • FluXHound,@FluXHoundFB,judge6915@gmail.com,,#BlackOps6,1,0,1,5,180,0,2024-11-02 04:29:06,https://pbs.twimg.com/media/GbYFb7TX0AAoTfV.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
20,"Local GP practice /franchise phoned yesterday offering Covid and flu jab. 
No. Chance.
Oh why? 
Because you lied about Covid and the vaccine. 
Oh ok well if you change your mind..
They won’t stop. Sponsors won’t let them. Shameful dope pushers.",https://x.com/MotoGoldUK/status/1852672725308846571,tweet,MotoGoldMag,@MotoGoldUK,"Manchester, England",,,0,0,0,0,11,0,2024-11-02 04:22:53,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
21,"We saw this spectacularly with the pangolin flu panic, where enumerated rights and freedoms in developed countries evaporated overnight. And ""the government"" are just the mostly local people who work for us, like those demented terrorists in Fight Club.
https://t.co/1feJ7FmSja",https://x.com/ReptileStare/status/1852648066068652116,tweet,Reptile Stare,@ReptileStare,Planet Earth,,,0,0,0,0,14,1,2024-11-02 02:44:54,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
22,@nieuwenhui2 I had a text from my GP last month telling me to book my COVID &amp; Flu jab - and here’s the link. Link worked fine but no dates available before January 2025 🤬. Go on the NHS site and the local pharmacy are doing them - you can book for 3-days time. Pointless GP text 🤔,https://x.com/phil_hole/status/1852627473374040197,tweet,Phil Hole,@phil_hole,,@nieuwenhui2,,0,0,0,1,13,0,2024-11-02 01:23:04,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
23,@varungrover @TanmayTakle Every household has a cold and flu patient. People in the local trains are coughing so badly. Urgent attention is needed towards improving air quality in Mumbai and MMR areas.,https://x.com/Latakarkala/status/1852622934914838697,tweet,Lata Shetty,@Latakarkala,Vasai,"@varungrover,@TanmayTakle",,0,0,0,0,229,0,2024-11-02 01:05:02,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
24,"Local parent posted that her child was SO sad that she came home from school, took a nap, and woke up with ""an awful flu,"" so had to miss trick or treating. I have so many feelings about this. A🧵",https://x.com/ExpatRepeat/status/1852609869414834279,tweet,Expat Repeat,@ExpatRepeat,,,,1,0,2,14,191,1,2024-11-02 00:13:07,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
25,"#Colombianosenelexterior 🎥 Este viernes, el colombiano nuevamente se reportó con el cuadro 'tricolor', liderando la igualdad de 'Flu' en condición de local ⚽ por la fecha 32, en el fútbol brasileño.
https://t.co/ejNKXPkFJi",https://x.com/GolCaracol/status/1852537475316470006,tweet,Gol Caracol,@GolCaracol,"Bogotá, Colombia",,#Colombianosenelexterior,0,0,1,4,3030,0,2024-11-01 19:25:27,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
26,"@_ThisIs_Fine @nb_covid_info You bet, just got mine: covid in the right &amp; flu in the left at local pharmacy.",https://x.com/prof_brunt/status/1852503437134729441,tweet,Dr. Keith R. Brunt,@prof_brunt,"Canada, Dalhousie Medicine, NB","@_ThisIs_Fine,@nb_covid_info",,0,0,0,2,15,0,2024-11-01 17:10:11,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
27,@kathrwn I think there were some bird flu issues earlier this year. My local guy pretty much halts production due to the daylength shortening causing egg production to drop off.,https://x.com/ugh_OPEC/status/1852479691027845219,tweet,ayy,@ugh_OPEC,SC,@kathrwn,,1,0,0,0,62,0,2024-11-01 15:35:50,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
28,"@PrinceK0K0 @unacceptable_jr @BarbaraOneillAU I've worked in our local hospital since 2004.  The REAL pandemic started in 2022.If you haven't realized that everyone was lied to by now, you may want to catch up. 2018 flu season killed staff too. Our staff started having heart attacks in 2022 after the Vax was forced on them.",https://x.com/Christi3499710/status/1852478087054991375,tweet,Christian,@Christi3499710,,"@PrinceK0K0,@unacceptable_jr,@BarbaraOneillAU",,0,0,0,0,10,0,2024-11-01 15:29:27,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
29,"Time to get your flu shot! If you're visiting or have an appointment at our Hamilton General, Juravinski or McMaster Children's Hospitals, go to the hospital's retail pharmacy to get your flu shot. Anyone can book a flu shot appointment with your family doctor or local pharmacy. https://t.co/NYuJZ09zQK",https://x.com/HamHealthSci/status/1852465690621427717,tweet,Hamilton Health Sciences,@HamHealthSci,"Hamilton, Ontario",,,1,0,1,2,400,0,2024-11-01 14:40:12,https://pbs.twimg.com/ext_tw_video_thumb/1852465648539934720/pu/img/zffjPCC5mnmjOea9.jpg,https://video.twimg.com/ext_tw_video/1852465648539934720/pu/vid/avc1/720x1280/_QCR7Nxefxjz7aWm.mp4?tag=12,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
30,"AHEPA One Apartments in Decatur, GA had a Fall Harvest lunch with family and friends! They prepped for cold/flu season with an immunization clinic administered by nurses from the local health department.  
https://t.co/CWvD3Y0LXW 

#olderadults
#seniorhousing
#healthyaging https://t.co/vTKHqdHqNt",https://x.com/AhepaSL/status/1852460665903960410,tweet,AHEPA Senior Living,@AhepaSL,"Fishers, IN",,"#olderadults,#seniorhousing,#healthyaging",0,0,0,0,8,0,2024-11-01 14:20:14,"https://pbs.twimg.com/media/GbVDKCoWoAAp0gF.jpg,https://pbs.twimg.com/media/GbVDKFVXYAA00OC.jpg",,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
31,"@maggiedwyer2013 @SylviaJonesMPP @fordnation @VictorFedeli @BR4CambridgePC I deal with a local Rexall in my home town. After receiving my covid &amp; flu shot, the pharmacist discussed the RSV shot on Monday. He was up front right away &amp; I chose NOT to get it.",https://x.com/lindahaslett/status/1852459236837790045,tweet,linda haslett,@lindahaslett,"Ontario, Canada","@maggiedwyer2013,@SylviaJonesMPP,@fordnation,@VictorFedeli,@BR4CambridgePC",,0,0,0,0,31,0,2024-11-01 14:14:33,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
32,"Vigorous, skilled health departments acting in each State to fight local health emergencies is what the system is designed to do. 

Through National Cabinet instead we ended up with meaningless, lethal slogans applied generically. ‘Living with the virus’. ‘Just like the flu’. /11",https://x.com/RageSheen/status/1852454902037147818,tweet,Henry Madison,@RageSheen,,,,2,0,16,124,1191,0,2024-11-01 13:57:20,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
33,"Got abit of the old man flu so went into the local Co-op for something to help 

Cough medicine is priced at £6.50 
But Stella Artois 10pk is £10.50 

Fucked off the cough medicine and bought two crates instead 🔥🔥",https://x.com/TescoSam1/status/1852435658255601723,tweet,Sam,@TescoSam1,,,,2,1,0,15,894,0,2024-11-01 12:40:52,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
34,"@jdhughez Dude for real…he’s a big local figure, schools named for him, that kind of thing. I didn’t know how much of a hardcore white supremacist he was until I read about his flu years!",https://x.com/AlmanacBehind/status/1852427009395437629,tweet,Daniel Bachman,@AlmanacBehind,Manahoac Territory Madison VA,@jdhughez,,1,0,0,0,29,0,2024-11-01 12:06:30,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
35,"@TheaLanden Ok. When I was in college, I dreamed of a massive plague. The next day, the entire campus was sick. Some weird flu swept through. Made the local news.",https://x.com/cromgood/status/1852403518919061540,tweet,Pepys's Muenster. BOO! 💜💛❤️🐝,@cromgood,1666 London. buried. 8.5x11 ,@TheaLanden,,1,0,0,2,31,0,2024-11-01 10:33:09,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
36,"In America alone, 400 dairy herds across 14 states contracted the bird flu in 2024. With warnings of a global rise in the virus, organizations like the @WHO work to monitor cross-border spread and protect the herds of local farmers like those in the U.S.

https://t.co/2iOdyCZeGd",https://x.com/BetterWorldOrg/status/1852391057612288073,tweet,Better World Campaign,@BetterWorldOrg,"Washington, D.C.",@WHO,,0,0,0,1,54,1,2024-11-01 09:43:38,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
37,Got a text message this morning.  Local pharmacy wants me to come in and take Covid/Flu shot. They are blocked now   😂😒,https://x.com/DalOBrien/status/1852390365602463918,tweet,Dal OBrien,@DalOBrien,TEXAS,,,1,0,0,7,360,0,2024-11-01 09:40:53,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
38,"Just got an email from my local grocery store (Massachusetts) Stop &amp; Shop ~

‘Get 500 GO Points™ when you get your FLU or COVID-19 shots.’

That’s $5 worth of groceries. 

Evil.",https://x.com/Russell4Heather/status/1852385449081241734,tweet,Heather Russell,@Russell4Heather,"Massachusetts, USA",,,0,1,0,0,31,0,2024-11-01 09:21:21,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
39,"We are out in the community providing #COVID19 and flu vaccinations! Today, we had a vaccine clinic at #OaklandCounty Animal Shelter &amp; Pet Adoption Center to vaccine people looking to adopt a furry friend. Find local a clinic location near you at https://t.co/g38Auz2ZpT https://t.co/tfafBzIFqG",https://x.com/publichealthOC/status/1852381889174061210,tweet,Public Health Oakland,@publichealthOC,"Oakland County, Michigan",,"#COVID19,#OaklandCounty",0,0,0,1,43,0,2024-11-01 09:07:12,https://pbs.twimg.com/media/GbT7gcSX0AAKnLk.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
40,"Protect yourself and others by getting your flu shot this season. You can receive a flu shot by calling 1(855)473-4374 to schedule an appointment, or by visiting your local county health department (https://t.co/xZ4KU4gW5F). https://t.co/FicSBRWR7T",https://x.com/sehdph/status/1852380280104833453,tweet,Southeast Health District,@sehdph,"Waycross, GA",,,0,0,0,0,4,0,2024-11-01 09:00:48,https://pbs.twimg.com/media/GbT6DJQWMAE900x.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
41,It’s more affordable to get a flu shot than to get the flu. Flu shots are low-cost or covered by insurance for most Americans and they are available at local pharmacies or doctors’ offices. Visit https://t.co/h6axHDZWyp for more information. #HealthierNJ https://t.co/LPFihVSUE1,https://x.com/NJDeptofHealth/status/1852380256373453193,tweet,NJDOH,@NJDeptofHealth,New Jersey,,#HealthierNJ,0,1,2,0,555,0,2024-11-01 09:00:43,https://pbs.twimg.com/media/GbT6Bs-WQAEwKCA.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
42,"Free Flu Shot And New COVID-19 Vaccines Now Available Across Ontario https://t.co/WsCwhgx62z via @Muskoka411  ...This is a new article in my local new's . Why are they still pushing this unsafe and ineffective garbage? , and why on earth would anyone take it?",https://x.com/trudeauiswrong1/status/1852372036993032216,tweet,Canadian National,@trudeauiswrong1,"Ontario, Canada",@Muskoka411,,0,0,0,0,16,0,2024-11-01 08:28:03,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
43,"Eligible Veterans can get no-cost flu shots and COVID vaccines at our American Lake (drive-thru) and Seattle (walk-in, Bldg. 101) from 8AM to 4PM until tomorrow, Nov. 2. Call your local VA Community Clinic for dates/hours. Questions? Call 800-329-8387, ext. 64040. https://t.co/BfR20KnBsW",https://x.com/VAPugetSound/status/1852350017907949863,tweet,VA Puget Sound,@VAPugetSound,"ÜT: 47.710197,-122.296654",,,0,0,0,0,28,0,2024-11-01 07:00:33,https://pbs.twimg.com/media/GbTehmqX0AAAN0P.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
44,"Now is the best time to get your child the important protections that a flu shot provides. It's safe, effective, and with our list of local places to get your child a flu vaccine, it's easy. https://t.co/6LNo6vskjw #FightTheFlu https://t.co/P1xT1uG9nG",https://x.com/MottChildren/status/1852349396538610094,tweet,C.S. Mott Children's,@MottChildren,"Ann Arbor, MI",,#FightTheFlu,0,0,0,0,115,1,2024-11-01 06:58:05,https://pbs.twimg.com/media/GbTd8WtWAAAOaov.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
45,💪 Stay strong this flu season! Vaccination is one of the best ways to fight the flu. Visit your local health department to get your flu shot and help keep our community safe. https://t.co/gWO77vdNsT,https://x.com/SouthHealthDist/status/1852338601234727044,tweet,SouthHealthDistrict,@SouthHealthDist,South Central Georgia,,,0,0,0,0,5,0,2024-11-01 06:15:11,https://pbs.twimg.com/media/GbTUJEXX0AAjaBZ.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
46,Flu &amp;  COVID Shots Available During Parent-Teacher Conferences https://t.co/MB9s7ouYaL https://t.co/HqNV2dThDq,https://x.com/EasternLocalSD/status/1852337520136126475,tweet,Eastern (Pike) Local Schools,@EasternLocalSD,"Beaver, OH",,,0,0,0,1,14,0,2024-11-01 06:10:54,https://pbs.twimg.com/media/GbTTKI1W0AAUpbe.png,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
47,@Jenny_1884 Swine flu for me . Then local grooming gangs . Then corrupt police social services schools . Then government. Then history . Then Patterns . Once you see it you cant turn back .  We have been lied too since birth all of us .,https://x.com/Hayley256451/status/1852334287497892213,tweet,Hayley,@Hayley256451,,@Jenny_1884,,0,0,0,0,3,0,2024-11-01 05:58:03,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
48,"Kamala waved in 20,000,000 migrants, slammed state and local governments with the cost, never even raised a request with Congress to fund it for over three years….and still has no f*cking idea how much this cost while inhibiting the comeback from Kung Flu. 

Thats why she is pushing this Nazi Fascist Bullshit, because no one in their right mind would vote for her…specifically her….",https://x.com/KieranCurley3/status/1852333336758243382,tweet,OutlawShamrock,@KieranCurley3,"Bronx, NY",@dbongino,,0,0,0,1,12,0,2024-11-01 05:54:16,https://pbs.twimg.com/media/GbTPWghWgAAOHQZ.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
49,"Kamala waved in 20,000,000 migrants, slammed state and local governments with the cost, never even raised a request with Congress to fund it for over three years….and still has no f*cking idea how much this cost while inhibiting the comeback from Kung Flu. 

Thats why she is pushing this Nazi Fascist Bullshit, because no one in their right mind would vote for her…specifically her….",https://x.com/KieranCurley3/status/1852333259398479998,tweet,OutlawShamrock,@KieranCurley3,"Bronx, NY",@nypost,,0,0,0,0,4,0,2024-11-01 05:53:58,https://pbs.twimg.com/media/GbTPSBBWgAAckzC.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
50,"Cold and flu season: How local athletes, coaches, parents navigate the inevitable https://t.co/PJ2ZwKzmXc",https://x.com/RTDSports/status/1852321233804623969,tweet,RTD Sports,@RTDSports,"Richmond, VA",,,0,0,0,0,172,0,2024-11-01 05:06:11,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
51,"Cold and flu season: How local athletes, coaches, parents navigate the inevitable https://t.co/wR34pllN4I",https://x.com/804Varsity/status/1852321230315024682,tweet,804 Varsity,@804Varsity,"Richmond, VA",,,0,0,1,1,631,0,2024-11-01 05:06:10,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
52,Free NHS flu jabs for eligible care home &amp; domiciliary care workers – ask at your local pharmacy for more information. https://t.co/BoAiDtOErh,https://x.com/HealthwatchLinc/status/1852320454016438516,tweet,HealthwatchLincs,@HealthwatchLinc,Lincolnshire UK,,,0,0,0,0,18,0,2024-11-01 05:03:05,https://pbs.twimg.com/media/GbTDophWIAAGZOy.png,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
53,"Kamala waved in 20,000,000 migrants, slammed state and local governments with the cost, never even raised a request with Congress to fund it for over three years….and still has no f*cking idea how much this cost while inhibiting the comeback from Kung Flu. 

Thats why she is pushing this Nazi Fascist Bullshit, because no one in their right mind would vote for her…specifically her….",https://x.com/KieranCurley3/status/1852319033900814775,tweet,OutlawShamrock,@KieranCurley3,"Bronx, NY",@CBSNews,,0,0,0,0,29,0,2024-11-01 04:57:26,https://pbs.twimg.com/media/GbTCTkiXgAAAXvv.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
54,"💉👏💉👍GET VACCINATED - GET WINTER STRONG
It's not too late to get your winter protection from Covid and Flu.
Contact your local Swettenham Chemists and book your Flu/Covid vaccination.
Keep well this winter.
#getvaccinatedtobeprotected https://t.co/HO87wPG5MO",https://x.com/LeeDavi02508122/status/1852295783581700322,tweet,Lee Davies,@LeeDavi02508122,,,#getvaccinatedtobeprotected,0,0,0,0,4,0,2024-11-01 03:25:03,https://pbs.twimg.com/media/GbStMWWWYAALjO7.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
55,"@AnnadeBuisseret YES.
I have written to the local ""Health Centre"" with regard to the lack of mRNA informed consent (no response!!).
I have rejected the ""flu"" jab, the ""pneumonia jab"", Statins etc, asking to be removed from the database and STILL they keep sending texts inviting me to get the jabs",https://x.com/CJ8350/status/1852286361094480181,tweet,Christopher,@CJ8350,Worcestershire UK,@AnnadeBuisseret,,0,0,0,1,17,0,2024-11-01 02:47:36,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
56,@finnese_chubs Sister I have flu😂😂😭😭,https://x.com/Iam_fefi/status/1852277112276718001,tweet,Local woman,@Iam_fefi,Malawi,@finnese_chubs,,1,0,0,0,26,0,2024-11-01 02:10:51,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
57,"If you are vaccinated and catch flu or COVID-19 this winter, you're likely to have milder symptoms and recover faster, reducing your risk of hospitalisation.

Get your vaccinations now by booking an appointment online with your local pharmacy ➡️ https://t.co/uTmSe9lvGr https://t.co/Dbc9Wr255S",https://x.com/ImperialNHS/status/1852274464068686143,tweet,Imperial NHS 💙,@ImperialNHS,London,,,0,0,1,1,242,0,2024-11-01 02:00:20,https://pbs.twimg.com/media/GbSZzyZWwAAJSB5.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
